recall_id,recall_number,recall_date,year,title,segment,is_childrens,hazard_category,is_violation,injuries_reported,units,price_usd,sales_channel,n_countries,countries,primary_country,remedy_options,main_fiber,url
1975,15714,2014-12-22,2014,James Trading Group Recalls Croker Kids Fleece Panel Hoodie Due to Strangulation Hazard (Recall Alert),apparel,True,drawstring_strangulation,False,False,1113.0,50.0,mixed,1,China,China,Refund,cotton,https://www.cpsc.gov/Recalls/2015/James-Trading-Group-Recalls-Croker-Kids-Fleece-Panel-Hoodie
1891,15057,2015-01-08,2015,Children’s Pajamas Recalled by Star Ride Kids Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,7000.0,11.5,store_only,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2015/Childrens-Pajamas-Recalled-by-Star-Ride-Kids
1907,15072,2015-02-04,2015,Children's Pajamas and Robes Recalled by Lazy One Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,8400.0,22.0,mixed,1,China,China,Replace,polyester,https://www.cpsc.gov/Recalls/2015/Childrens-Pajamas-and-Robes-Recalled-by-Lazy-One
1981,15720,2015-02-18,2015,Tommy Bahama Recalls Hula Girl Cocktail Shaker and Glass Sets Due to Laceration Hazard (Recall Alert),apparel,True,laceration_puncture,False,True,1700.0,50.0,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2015/Tommy-Bahama-Recalls-Hula-Girl-Cocktail-Shaker-and-Glass-Sets
1923,15089,2015-03-04,2015,Children's Pajamas Recalled by KTM North America for Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,2800.0,30.0,store_only,1,China,China,Refund,cotton,https://www.cpsc.gov/Recalls/2015/Childrens-Pajamas-Recalled-by-KTM-North-America
1928,15093,2015-03-10,2015,Children's Pajamas Recalled by K.J. Sportswear California Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,9200.0,37.5,store_only,1,China,China,Refund,polyester,https://www.cpsc.gov/Recalls/2015/Childrens-Pajamas-Recalled-by-KJ-Sportswear-California
1929,15094,2015-03-11,2015,SCARPA North America Recalls Ski Boots with Tronic System Due to Fall Hazard,apparel,False,fall_slip,False,True,2100.0,700.0,mixed,1,Italy,Italy,Refund,,https://www.cpsc.gov/Recalls/2015/SCARPA-North-America-Recalls-Tronic-System-Ski-Boots
1932,15097,2015-03-12,2015,Youth Loungewear Pants Recalled by M&M'S World Store Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,19000.0,22.0,store_only,1,China,China,Refund,cotton,https://www.cpsc.gov/Recalls/2015/Youth-Loungewear-Pants-Recalled-by-MandMs-World-Store
1937,15101,2015-03-19,2015,Spinrite Recalls Bernat Tizzy Yarn Due to Entanglement Hazard,apparel,True,entrapment_entanglement,False,False,620000.0,4.75,mixed,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2015/Spinrite-Recalls-Bernat-Tizzy-Yarn
6352,15724,2015-03-27,2015,Lands' End Recalls Children's Pajamas and Robes Due to Violation of Federal Flammability Standard (Recall Alert),apparel,True,flammability_burn,True,False,173000.0,27.0,online_only,1,China,China,Refund,polyester,https://www.cpsc.gov/Recalls/2015/Lands-End-Recalls-Childrens-Pajamas-and-Robes
6358,15108,2015-04-08,2015,Children's Pajamas Recalled by Smooth Industries Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,7600.0,32.5,mixed,1,China,China,Replace,polyester,https://www.cpsc.gov/Recalls/2015/Childrens-Pajamas-Recalled-by-Smooth-Industries
6366,15113,2015-04-16,2015,Goochie Goo Garbs Recalls Children's Sensory Grab Garb Blankets Due to Laceration Hazard,home_textile,True,laceration_puncture,False,True,125.0,10.0,store_only,1,United States,United States,Refund;Replace,,https://www.cpsc.gov/Recalls/2015/Goochie-Goo-Garbs-Recalls-Childrens-Sensory-Grab-Garb-Blankets
6368,15115,2015-04-16,2015,"Gena Accessories Recalls Women’s Scarves Due to Burn Hazard, Violation of Federal Flammability Standard",apparel,False,flammability_burn,True,False,9400.0,12.0,online_only,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2015/Gena-Accessories-Recalls-Womens-Scarves
6375,15122,2015-04-23,2015,Roberta Roller Rabbit Recalls Children’s Pajama Sets Due to Violation of Federal Flammability Standard,apparel,True,flammability_burn,True,False,32000.0,60.0,mixed,1,Peru,Peru,,cotton,https://www.cpsc.gov/Recalls/2015/Roberta-Roller-Rabbit-Recalls-Childrens-Pajama-Sets
6376,15123,2015-04-28,2015,Whistler Recalls Jump&Go Portable Jumpstart and Power Supply Units Due to Fire Hazard,apparel,False,flammability_burn,False,False,10400.0,90.0,mixed,1,China,China,Replace,,https://www.cpsc.gov/Recalls/2015/Whistler-Recalls-Jump-and-Go-Portable-Jumpstart-and-Power-Supply-Units
6384,15132,2015-05-12,2015,Schylling Recalls Police Press and Go Toy Vehicles Due to Choking Hazard,apparel,False,choking_small_parts,False,False,13200.0,5.0,store_only,1,China,China,Refund,,https://www.cpsc.gov/Recalls/2015/Schylling-Recalls-Toy-Police-Cars
6393,15137,2015-05-19,2015,Rocky Brands Recalls Rocky Rubber Snake Boots Due to Failure of Snake Guard,apparel,False,protective_failure,False,True,1800.0,200.0,mixed,1,China,China,Refund;Replace,,https://www.cpsc.gov/Recalls/2015/Rocky-Brands-Recalls-Rocky-Rubber-Snake-Boots
6426,15171,2015-06-25,2015,Tops with Elastic Draw Cords Recalled by lululemon athletica Due to Injury Hazard,apparel,False,other,False,True,133000.0,75.0,mixed,4,Bangladesh;China;Indonesia;Peru,Bangladesh,Repair,,https://www.cpsc.gov/Recalls/2015/lululemon-athletica-recalls-tops-with-elastic-cords
6471,15209,2015-08-06,2015,The Children's Place Recalls Boys' Varsity Jackets Due to Choking Hazard,apparel,True,choking_small_parts,False,False,13700.0,30.0,mixed,1,Pakistan,Pakistan,Refund,,https://www.cpsc.gov/Recalls/2015/The-Childrens-Place-Recalls-Boys-Varsity-Jackets
6474,15212,2015-08-12,2015,Flowers By Zoe Recalls Girls Striped Hoodie and Neon Tie Dye Jacket Due to Strangulation Hazard,apparel,True,drawstring_strangulation,False,False,122.0,45.0,store_only,1,Indonesia,Indonesia,Refund,rayon,https://www.cpsc.gov/Recalls/2015/Flowers-By-Zoe-Recalls-Girls-Striped-Hoodie-and-Neon-Tie-Dye-Jacket
6485,15220,2015-08-20,2015,Madewell Recalls Women's Sandals Due to Fall Hazard,apparel,False,fall_slip,False,False,50600.0,70.0,mixed,1,Brazil,Brazil,Refund,,https://www.cpsc.gov/Recalls/2015/Madewell-Recalls-Womens-Sandals
6490,15225,2015-08-26,2015,CAMP USA Recalls Blade Runner Crampons Due to Fall Hazard,apparel,False,fall_slip,False,False,900.0,350.0,mixed,1,Italy,Italy,Repair,,https://www.cpsc.gov/Recalls/2015/CAMP-USA-Recalls-Blade-Runner-Crampons
